,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
4849,20.0,35.7,0.0,537.5,0.005167824006367,0
4181,20.7,34.59,24.0,513.5,0.0052289321738754,0
1343,24.29,23.5,225.0,744.0,0.0044127617404522,0
1715,21.4633333333333,28.3633333333333,0.0,570.333333333333,0.0044881894252806,0
3877,19.6,38.29,0.0,502.0,0.0054089672759458,0
7352,21.945,29.9175,433.0,965.25,0.0048786377751726,1
5639,23.2,28.5,345.0,627.0,0.00501665438525,0
3743,19.6,38.045,0.0,503.5,0.0053740587713935,0
6903,21.5,27.2,575.0,1010.5,0.0043125710230546,1
4148,20.79,34.8175,143.0,510.0,0.0052931204466945,0
632,20.7,26.0,0.0,522.0,0.0039222030128274,0
1849,21.1,27.495,0.0,563.0,0.0042533045541193,0
6069,20.39,32.5,0.0,675.5,0.0048167677494388,0
8013,20.4266666666667,30.39,0.0,730.666666666667,0.0045120632673806,0
5396,20.2225,30.4175,48.75,608.5,0.0044591550035524,0
1620,21.89,28.1,0.0,614.0,0.0045646141238782,0
6071,20.4266666666667,32.5,0.0,673.666666666667,0.004827770680846,0
6472,20.39,27.1,0.0,859.5,0.0040112819641186,0
9344,20.7,27.0,0.0,1234.0,0.0040740450549847,0
2109,21.0,24.745,0.0,581.5,0.0038017050733792,0
881,20.5,23.8666666666667,0.0,582.666666666667,0.0035541643145584,0
9208,20.89,29.2,0.0,1355.0,0.0044605981991677,0
5727,22.0,30.34,96.0,658.25,0.0049648470518148,0
1085,20.9175,22.65,443.75,731.5,0.0034603429496543,1
5412,20.55,29.89,130.0,617.0,0.0044714427059569,0
7212,21.7,29.0,459.0,905.666666666667,0.0046571334707555,1
4929,19.89,35.4,0.0,543.333333333333,0.0050889437890752,0
7451,21.1,30.2,0.0,821.0,0.0046748961447684,0
4581,19.89,35.45,0.0,523.5,0.0050961904538879,0
1277,24.0,22.7,295.25,767.0,0.0041875020474319,0
8649,22.1666666666667,34.4,454.0,1364.66666666667,0.0056933169976444,1
6851,20.675,25.575,393.0,885.8,0.0038517178180399,1
98,21.89,30.2,441.0,775.333333333333,0.0049084338359812,1
5076,20.0666666666667,33.56,0.0,554.333333333333,0.0048758714038463,0
826,20.6,23.945,0.0,558.0,0.0035880867360148,0
4586,19.79,35.4,0.0,523.0,0.005057223573266,0
5648,23.1,28.6,137.25,633.25,0.0050038078659596,0
8795,22.2,34.345,438.0,1522.0,0.0056957896179839,1
5276,20.0,32.09,0.0,575.5,0.0046413518995623,0
1621,21.89,28.1633333333333,0.0,626.333333333333,0.0045749777743821,0
4701,19.945,35.29,0.0,530.0,0.005090467401613,0
3584,19.79,36.29,0.0,510.0,0.0051854284286976,0
9288,20.79,27.6,0.0,1335.66666666667,0.0041884933734446,0
9535,20.79,26.29,0.0,1536.5,0.0039884169299724,0
1345,24.236,23.434,216.4,738.5,0.004385958473379,0
4132,20.6,35.29,35.6666666666667,503.666666666667,0.005302593845425,0
6566,20.39,26.2,0.0,845.0,0.0038772355562648,0
3750,19.6,38.245,0.0,504.0,0.0054025552185697,0
7115,21.5,28.34,461.5,884.5,0.0044946245814904,1
1002,20.55,22.34,0.0,714.0,0.0033359307652145,0
2157,20.89,24.29,0.0,583.0,0.003706076501351,0
3973,19.945,36.5,6.0,503.5,0.0052664837758726,0
9448,20.79,26.1,0.0,1394.0,0.0039594088253607,0
1945,21.0,26.3,0.0,570.0,0.0040421604843372,0
6690,20.39,25.1,0.0,801.0,0.0037134789963081,0
878,20.5333333333333,23.7966666666667,0.0,581.666666666667,0.0035510177433263,0
5478,21.89,28.7,152.75,641.5,0.0046628098389759,0
4047,20.025,36.5225,22.0,508.25,0.0052961630173983,0
9075,20.84,32.29,0.0,1507.5,0.004921089483612,0
5705,22.2,30.0,69.75,661.0,0.0049694559111759,0
1468,22.89,25.5,50.0,569.0,0.0044008456513347,0
3298,20.29,31.2,0.0,507.0,0.0045939832120956,0
2432,20.84,25.495,0.0,528.5,0.0038790535134693,0
6835,20.445,24.34,292.25,831.0,0.003612706872346,0
7526,20.5,30.5,0.0,744.0,0.0045492084791297,0
9491,20.79,26.2,0.0,1573.5,0.0039746759137067,0
2284,20.84,24.15,0.0,576.0,0.0036732038270201,0
3136,21.1,32.29,0.0,521.5,0.0050010249627994,0
9057,20.89,32.79,0.0,1536.0,0.0050134276340722,0
5958,20.5,32.7,0.0,676.0,0.0048799225379465,0
1032,20.5,22.3233333333333,0.0,796.333333333333,0.0033231070842193,0
9579,20.7,26.7,0.0,1529.33333333333,0.0040284847074963,0
9399,20.79,26.39,0.0,1365.5,0.0040036854333781,0
2864,23.39,27.0,562.0,568.0,0.0048058543303393,1
7171,21.7,28.675,465.25,901.5,0.0046045550895552,1
340,20.945,30.4,0.0,494.5,0.0046611385840468,0
3309,20.29,31.29,0.0,510.0,0.0046073332472003,0
4044,20.1,36.4,25.6666666666667,508.0,0.005303024817532,0
5106,20.1,33.06,0.0,555.666666666667,0.0048126635939586,0
7498,20.7,30.5,0.0,760.0,0.0046060728508538,0
8317,21.025,31.4175,433.0,924.75,0.0048422973916801,1
2146,21.0,24.745,0.0,576.5,0.0038017050733792,0
6148,20.39,31.79,0.0,706.5,0.0047107429526361,0
882,20.5,23.6,0.0,583.5,0.0035142286169601,0
3594,19.745,36.4,0.0,508.0,0.0051866523439431,0
7633,20.39,30.0,0.0,716.0,0.0044436001350469,0
1665,21.79,28.1,0.0,589.5,0.0045366191972797,0
5129,20.1,32.7,0.0,559.5,0.004759856053012,0
9707,20.84,27.0,14.0,1438.0,0.004109551533434,0
2300,20.89,24.29,0.0,573.0,0.003706076501351,0
8743,22.2,34.4475,444.0,1506.0,0.0057129443913215,1
2124,21.0,25.05,0.0,575.5,0.0038488537904606,0
5752,21.89,30.6,62.0,674.0,0.004973966091032,0
2079,21.0,25.05,0.0,572.5,0.0038488537904606,0
8765,22.1333333333333,34.3966666666667,429.0,1501.0,0.0056811050569089,1
1687,21.6,28.1,0.0,584.0,0.0044838459348974,0
2662,23.575,25.315,785.0,700.5,0.0045546618854189,1
240,21.39,29.015,0.0,604.25,0.0045713332117777,0
144,21.9175,30.5,433.0,814.0,0.0049659773620009,1
4040,20.1,36.29,31.0,511.0,0.0052868629788059,0
5860,21.175,31.865,32.0,673.25,0.0049576387518217,0
9000,21.0,33.7,0.0,1510.33333333333,0.0051889865684224,0
2212,20.89,24.39,0.0,578.0,0.0037214254101758,0
2467,20.79,25.6666666666667,0.0,520.0,0.0038932600471264,0
1081,20.745,22.65,428.0,732.0,0.0034235974487943,1
2591,22.6333333333333,24.89,732.0,587.666666666667,0.0042280619112592,1
7518,20.6,30.39,0.0,748.5,0.0045609323842185,0
1924,21.0,26.1,0.0,567.0,0.0040112233891098,0
3699,19.6,36.59,0.0,502.0,0.0051668250101537,0
162,21.89,30.175,419.0,751.333333333333,0.0049043385248891,1
766,20.6,25.15,0.0,598.0,0.0037697467388971,0
2807,23.79,25.4266666666667,209.0,543.333333333333,0.004634958970719,0
3215,20.6,31.6,0.0,505.5,0.0047439142472379,0
2417,20.89,25.39,0.0,529.0,0.0038749559254609,0
4103,20.815,35.425,136.0,510.25,0.0053946432795018,0
8497,21.7,32.73,464.0,1286.33333333333,0.0052612038787908,1
8160,20.5,30.39,0.0,765.0,0.0045326819356264,0
4624,19.89,35.4,0.0,519.0,0.0050889437890752,0
4110,20.815,35.425,42.25,506.5,0.0053946432795018,0
711,20.6,24.89,0.0,555.0,0.0037305414641974,0
2515,21.1666666666667,25.2,19.0,516.0,0.0039121410526842,0
6557,20.39,26.29,0.0,848.0,0.0038906376137194,0
179,21.815,29.6725,419.0,679.0,0.0047998297265585,1
7058,21.5,28.3633333333333,454.0,936.333333333333,0.0044983519292167,1
6216,20.29,31.0,0.0,715.333333333333,0.0045643185039529,0
2886,23.1,28.1,543.0,555.25,0.0049156373637017,1
3077,21.2675,32.7225,411.5,572.0,0.0051213675596474,1
484,20.5,28.7,0.0,492.0,0.0042788836794733,0
9465,20.79,26.025,0.0,1481.25,0.0039479589978065,0
7856,20.1,30.29,0.0,728.0,0.0044065679384827,0
3470,19.89,34.3633333333333,0.0,502.333333333333,0.0049387339973376,0
256,21.2,30.45,0.0,621.5,0.0047431413160253,0
4017,20.175,36.2,10.5,500.75,0.005298380480183,0
6521,20.39,26.55,0.0,869.666666666667,0.0039293578929002,0
5748,22.0,30.5,65.5,682.5,0.0049912396027537,0
94,21.89,30.075,438.0,770.25,0.0048879578155633,1
8777,22.15,34.35,438.0,1480.66666666667,0.0056791440015949,1
5114,20.1,32.9,0.0,554.0,0.0047891924772111,0
25,21.89,31.79,442.666666666667,1086.33333333333,0.0051690055834385,1
7015,21.5,28.5,439.0,998.0,0.0045201844280184,1
145,21.9633333333333,30.39,433.0,804.25,0.0049618940379719,1
9393,20.79,26.39,0.0,1316.0,0.0040036854333781,0
1020,20.5,22.745,0.0,724.5,0.0033862191630001,0
9055,20.89,32.79,0.0,1541.0,0.0050134276340722,0
8101,20.29,30.6,0.0,732.333333333333,0.0045049975133301,0
8448,21.39,32.475,429.0,1080.5,0.0051209466275281,1
7275,21.89,29.245,454.0,905.5,0.0047520309598641,1
2474,20.89,25.945,0.0,517.0,0.0039601978769796,0
3046,21.315,32.2,428.25,580.75,0.0050537493647368,1
231,21.55,28.79,0.0,593.0,0.004580619678991,0
2995,21.79,31.2,444.0,607.0,0.005041156594742,1
5162,20.1,32.29,0.0,565.5,0.0046997249677039,0
1159,23.0,23.365,667.75,883.0,0.0040571055490526,1
7219,21.745,28.84,454.0,900.0,0.0046440997625639,1
4675,19.89,35.4,0.0,526.666666666667,0.0050889437890752,0
9252,20.8566666666667,28.1666666666667,0.0,1337.5,0.0042927800703301,0
472,20.5,27.79,0.0,488.0,0.0041423082291234,0
9059,20.89,32.7,0.0,1528.0,0.0049995564769146,0
7102,21.525,28.1725,459.0,888.5,0.0044747620999952,1
6493,20.39,26.89,0.0,865.0,0.0039799993334511,0
6123,20.39,32.0,0.0,692.0,0.0047420986639068,0
4122,20.7,35.1633333333333,66.6666666666667,507.666666666667,0.0053163431270626,0
9315,20.7,27.2,0.0,1283.0,0.004104422304307,0
9659,20.73,27.2,0.0,1412.33333333333,0.004112064900264,0
1580,22.0,27.79,438.0,626.5,0.0045445154662353,1
5679,22.5,29.625,95.5,654.5,0.0049979465613401,0
9223,20.89,28.89,0.0,1141.5,0.0044129065588719,0
5316,20.0,31.6,0.0,583.0,0.0045699598180135,0
1238,24.1,22.39,267.5,921.5,0.0041549762311877,0
1598,22.0,27.79,433.0,616.0,0.0045445154662353,1
6915,21.7,26.9966666666667,528.333333333333,995.333333333333,0.0043331753020892,1
7252,21.7225,29.0,456.5,887.0,0.0046635917723036,1
9096,20.89,31.89,0.0,1455.0,0.0048747436749237,0
654,20.6,25.495,0.0,543.0,0.0038217767078069,0
6716,20.39,24.945,0.0,807.0,0.0036904110961423,0
3551,19.79,35.9,0.0,504.0,0.0051292423206035,0
7282,21.89,29.2675,456.0,906.25,0.0047557149467186,1
2540,21.575,25.625,511.5,547.0,0.004080034550054,1
3846,19.5333333333333,39.2,0.0,505.333333333333,0.0055155565667782,0
4381,19.79,36.2,24.0,516.5,0.0051724615101873,0
8336,21.1,31.4266666666667,433.0,953.666666666667,0.0048662671348718,1
7066,21.6,28.05,469.0,915.0,0.0044758101502781,1
7929,19.89,30.5333333333333,0.0,716.666666666667,0.0043844023486845,0
7163,21.6,28.5,446.5,864.0,0.0045481396339949,1
2006,21.0,25.7675,0.0,571.75,0.0039597972349032,0
5498,21.9633333333333,28.89,347.0,634.333333333333,0.0047151266085872,0
3534,19.89,35.79,0.0,502.0,0.0051454722166788,0
2610,23.29,24.5,746.5,607.5,0.0043313372712446,1
6385,20.2,28.39,0.0,811.0,0.0041541159565079,0
8681,22.175,34.145,454.0,1446.25,0.0056536255960244,1
8446,21.4175,32.475,444.0,1083.75,0.0051296545994498,1
7569,20.39,30.23,0.0,724.666666666667,0.004477912996136,0
8553,21.7,33.09,40.5,1116.25,0.0053195672105861,0
3899,19.625,37.7225,0.0,506.5,0.0053364670896962,0
347,20.89,29.6175,0.0,492.25,0.0045248395467263,0
839,20.6,23.7,0.0,556.0,0.0035511646161291,0
7783,20.2,30.34,0.0,717.0,0.0044414836609345,0
7542,20.6,30.29,0.0,731.0,0.0045458146960699,0
1721,21.5,28.39,0.0,565.0,0.0045026118094986,0
3867,19.5666666666667,38.56,0.0,504.666666666667,0.0054360713277255,0
3000,21.7,31.5,444.0,619.0,0.0050618777410547,1
1,21.76,31.1333333333333,437.333333333333,1029.66666666667,0.0050210108902138,1
8158,20.5,30.39,0.0,761.666666666667,0.0045326819356264,0
3705,19.6,36.59,0.0,503.0,0.0051668250101537,0
4741,19.79,35.2,0.0,527.0,0.0050284207056229,0
1610,21.9633333333333,27.9266666666667,419.0,625.666666666667,0.0045567494916335,1
804,20.6,24.6,0.0,572.0,0.0036868182990174,0
3610,19.76,36.4666666666667,0.0,504.666666666667,0.0052011111777478,0
7859,20.1,30.29,0.0,718.0,0.0044065679384827,0
4471,20.0,35.7,7.0,517.0,0.005167824006367,0
5207,20.1,32.29,0.0,568.5,0.0046997249677039,0
6770,20.39,24.55,0.0,803.666666666667,0.0036316328464765,0
9322,20.7,27.1,0.0,1241.0,0.0040892333111771,0
4853,20.0,35.79,0.0,538.666666666667,0.0051809606521483,0
899,20.5,23.5933333333333,0.0,581.5,0.0035132302898514,0
6489,20.39,27.0,0.0,863.0,0.0039963850833917,0
4076,20.26,36.3266666666667,63.0,511.666666666667,0.0053453416283563,0
4389,19.89,36.2,24.0,515.666666666667,0.0052049105278224,0
8066,20.55,30.29,0.0,736.0,0.0045317173179576,0
2579,22.5,25.025,699.0,585.25,0.0042166331211759,1
3406,20.05,33.145,0.0,510.5,0.0048101053063125,0
3218,20.6,31.5,0.0,513.333333333333,0.0047287877279186,0
6769,20.39,24.6,0.0,806.333333333333,0.0036390725207609,0
7009,21.39,28.4266666666667,454.0,1000.66666666667,0.0044779735691824,1
4504,19.89,35.5,0.0,515.0,0.0051034372861881,0
4614,19.89,35.4,0.0,522.0,0.0050889437890752,0
6634,20.445,25.65,0.0,797.5,0.0038083364000289,0
449,20.7,29.35,0.0,485.0,0.0044311640050328,0
1352,24.2,23.5,217.0,745.25,0.0043888459425223,0
7904,19.89,30.39,0.0,714.666666666667,0.0043636761544749,0
9008,21.0,33.7,0.0,1500.0,0.0051889865684224,0
353,20.89,29.7,0.0,493.0,0.00453753550378,0
1422,23.7225,24.29,111.5,610.5,0.0044082129127056,0
8201,20.7,30.2,0.0,768.5,0.0045604350403653,0
9731,20.815,26.8925,13.5,1499.25,0.0040867470240924,0
1354,24.2,23.5,210.0,736.5,0.0043888459425223,0
8828,22.2,34.0966666666667,419.0,1658.66666666667,0.0056542315342893,1
4209,20.4266666666667,35.09,104.666666666667,496.333333333333,0.0052157330430407,0
2308,20.89,25.5,0.0,573.0,0.0038918488819086,0
7883,20.0,30.29,0.0,718.0,0.0043791751281533,0
1010,20.6,22.39,0.0,700.0,0.0033538182310543,0
558,20.55,27.39,0.0,503.0,0.0040949889737186,0
3316,20.245,31.34,0.0,517.0,0.0046018361494812,0
9608,20.76,26.89,0.0,1497.66666666667,0.0040724599405228,0
7655,20.29,30.2,0.0,720.0,0.0044456877542656,0
4974,20.0,34.79,0.0,537.5,0.005035028827083,0
9496,20.7,26.2,0.0,1493.0,0.0039525655287612,0
6467,20.39,27.1,0.0,864.0,0.0040112819641186,0
2921,22.79,28.772,483.0,570.2,0.0049397779565858,1
8969,21.0,34.09,0.0,1477.0,0.0052495439686387,0
2147,21.0,24.2,0.0,577.0,0.0037174734123804,0
7832,20.0,30.29,0.0,709.0,0.0043791751281533,0
545,20.55,27.55,0.0,499.0,0.0041190684608606,0
3872,19.6,38.4,0.0,502.0,0.0054246417457471,0
6495,20.39,26.89,0.0,863.0,0.0039799993334511,0
4662,19.89,35.4,0.0,529.0,0.0050889437890752,0
2038,21.0,25.29,0.0,573.0,0.0038859594153106,0
9532,20.79,26.29,0.0,1513.5,0.0039884169299724,0
3674,19.6,36.5,0.0,499.0,0.0051540109230287,0
266,21.2,29.995,0.0,533.5,0.0046717344643064,0
5167,20.1,32.29,0.0,568.0,0.0046997249677039,0
