,Temperature,Humidity,Light,CO2,HumidityRatio
12786,21.245,25.245,0.0,456.5,0.0039381769514503
12787,21.245,25.245,0.0,458.5,0.0039381769514503
12788,21.26,25.26,0.0,459.666666666667,0.0039441826315888
12789,21.245,25.245,0.0,464.0,0.0039381769514503
12790,21.245,25.2,0.0,465.0,0.0039311126614506
12791,21.29,25.2,0.0,461.0,0.003942047886573
12792,21.245,25.2,0.0,458.5,0.0039311126614506
12793,21.29,25.2,0.0,459.0,0.003942047886573
12794,21.29,25.2,0.0,451.0,0.003942047886573
12795,21.29,25.2,0.0,456.0,0.003942047886573
12796,21.29,25.2,0.0,463.0,0.003942047886573
12797,21.29,25.2,0.0,461.666666666667,0.003942047886573
12798,21.29,25.2,0.0,458.0,0.003942047886573
12799,21.29,25.2,0.0,450.0,0.003942047886573
12800,21.29,25.2,0.0,457.0,0.003942047886573
12801,21.29,25.2,0.0,456.0,0.003942047886573
12802,21.29,25.2,0.0,456.0,0.003942047886573
12803,21.29,25.2,0.0,461.0,0.003942047886573
12804,21.29,25.2,0.0,463.0,0.003942047886573
12805,21.29,25.2,0.0,460.0,0.003942047886573
12806,21.29,25.2,0.0,456.0,0.003942047886573
12807,21.29,25.2,0.0,454.5,0.003942047886573
12808,21.29,25.2,0.0,448.5,0.003942047886573
12809,21.29,25.2,0.0,453.5,0.003942047886573
12810,21.29,25.2,0.0,454.0,0.003942047886573
12811,21.29,25.2,0.0,454.0,0.003942047886573
12812,21.29,25.245,0.0,450.5,0.0039491319513775
12813,21.29,25.245,0.0,453.0,0.0039491319513775
12814,21.2,25.2,0.0,457.0,0.0039202041885661
12815,21.2,25.2,0.0,452.5,0.0039202041885661
12816,21.2,25.2,0.0,449.0,0.0039202041885661
12817,21.2,25.2,0.0,458.666666666667,0.0039202041885661
12818,21.2,25.2,0.0,454.5,0.0039202041885661
12819,21.2,25.245,0.0,455.5,0.003927248752824
12820,21.2,25.245,0.0,453.5,0.003927248752824
12821,21.2,25.29,0.0,452.0,0.003934293475653
12822,21.2,25.29,0.0,451.5,0.003934293475653
12823,21.2,25.29,0.0,451.0,0.003934293475653
12824,21.1666666666667,25.3566666666667,0.0,450.333333333333,0.0039366164945272
12825,21.1666666666667,25.39,0.0,450.0,0.003941824282307
12826,21.15,25.39,0.0,453.5,0.0039377674602206
12827,21.1,25.39,0.0,454.0,0.0039256190724371
12828,21.15,25.39,0.0,452.5,0.0039377674602206
12829,21.1,25.39,0.0,454.0,0.0039256190724371
12830,21.1,25.39,0.0,457.0,0.0039256190724371
12831,21.1,25.4633333333333,0.0,450.333333333333,0.0039370291117239
12832,21.1,25.5,0.0,451.0,0.0039427342873644
12833,21.1,25.5,0.0,451.0,0.0039427342873644
12834,21.05,25.445,0.0,449.0,0.0039220346565542
12835,21.1,25.5,0.0,449.0,0.0039427342873644
12836,21.05,25.445,0.0,450.0,0.0039220346565542
12837,21.05,25.445,0.0,449.0,0.0039220346565542
12838,21.1,25.5,0.0,445.0,0.0039427342873644
12839,21.0,25.39,0.0,443.0,0.0039014213909368
12840,21.1,25.5,0.0,446.5,0.0039427342873644
12841,21.1,25.5,0.0,446.0,0.0039427342873644
12842,21.1,25.5,0.0,451.5,0.0039427342873644
12843,21.1,25.39,0.0,445.0,0.0039256190724371
12844,21.1,25.39,0.0,449.0,0.0039256190724371
12845,21.1,25.39,0.0,451.666666666667,0.0039256190724371
12846,21.1,25.39,0.0,452.0,0.0039256190724371
12847,21.1,25.39,0.0,451.0,0.0039256190724371
12848,21.05,25.34,0.0,450.0,0.0039057485667059
12849,21.1,25.39,0.0,450.0,0.0039256190724371
12850,21.1,25.39,0.0,448.0,0.0039256190724371
12851,21.1,25.39,0.0,450.666666666667,0.0039256190724371
12852,21.1,25.39,0.0,450.0,0.0039256190724371
12853,21.15,25.39,0.0,446.0,0.0039377674602206
12854,21.1,25.39,0.0,444.0,0.0039256190724371
12855,21.125,25.39,0.0,447.5,0.0039316891293167
12856,21.1333333333333,25.39,0.0,443.333333333333,0.0039337143198017
12857,21.1,25.34,0.0,443.5,0.0039178397386948
12858,21.1,25.34,0.0,444.0,0.0039178397386948
12859,21.15,25.34,0.0,449.0,0.0039299639010674
12860,21.2,25.29,0.0,449.333333333333,0.003934293475653
12861,21.15,25.29,0.0,448.0,0.0039221605364855
12862,21.15,25.245,0.0,449.5,0.0039151376747144
12863,21.2,25.245,0.0,450.0,0.003927248752824
12864,21.2,25.2,0.0,447.0,0.0039202041885661
12865,21.2,25.2,0.0,446.0,0.0039202041885661
12866,21.1333333333333,25.2,0.0,443.0,0.0039040925417633
12867,21.1666666666667,25.2,0.0,444.0,0.0039121410526842
12868,21.2,25.2,0.0,444.5,0.0039202041885661
12869,21.2,25.2,0.0,445.0,0.0039202041885661
12870,21.2,25.2,0.0,451.0,0.0039202041885661
12871,21.2,25.2,0.0,450.0,0.0039202041885661
12872,21.2,25.2,0.0,444.0,0.0039202041885661
12873,21.2,25.2,0.0,443.0,0.0039202041885661
12874,21.2,25.1,0.0,438.5,0.0039045501690233
12875,21.2,25.1,0.0,441.0,0.0039045501690233
12876,21.2,25.1,0.0,444.0,0.0039045501690233
12877,21.2,25.15,0.0,441.5,0.0039123770809183
12878,21.2,25.1,0.0,441.0,0.0039045501690233
12879,21.2,25.1,0.0,439.5,0.0039045501690233
12880,21.2,25.1,0.0,441.0,0.0039045501690233
12881,21.2,25.1,0.0,442.0,0.0039045501690233
12882,21.2,25.1,0.0,441.0,0.0039045501690233
12883,21.2,25.1,0.0,436.0,0.0039045501690233
