,Temperature,Humidity,Light,CO2,HumidityRatio
2021,20.89,24.9266666666667,0.0,553.666666666667,0.00380381075398
2022,20.89,24.934,0.0,552.4,0.0038049366666907
2023,20.89,24.9266666666667,0.0,554.0,0.00380381075398
2024,20.83,24.87,0.0,547.0,0.0037810396399206
2025,20.89,24.89,0.0,542.333333333333,0.0037981812511967
2026,20.84,24.8925,0.0,544.75,0.0037868252913379
2027,20.89,24.945,0.0,547.0,0.003806625543353
2028,20.865,24.865,0.0,552.75,0.0037884756824745
2029,20.89,25.0,0.0,556.0,0.0038150700634007
2030,20.87,24.934,0.0,551.6,0.0038002289763746
2031,20.84,24.92,0.0,553.0,0.0037910342862335
2032,20.89,24.9725,0.0,551.25,0.0038108477748898
2033,20.8566666666667,24.9266666666667,0.0,552.666666666667,0.0037959697919508
2034,20.865,24.9725,0.0,553.75,0.003804954768362
2035,20.8566666666667,24.8566666666667,0.0,545.666666666667,0.0037852449348122
2036,20.865,24.9175,0.0,547.75,0.0037965234997134
2037,20.89,24.912,0.0,548.4,0.0038015589407128
2038,20.89,24.9266666666667,0.0,549.333333333333,0.00380381075398
2039,20.89,25.0,0.0,549.333333333333,0.0038150700634007
2040,20.865,24.8925,0.0,545.5,0.0037926911799746
2041,20.89,24.9266666666667,0.0,543.0,0.00380381075398
2042,20.89,24.978,0.0,545.6,0.003811692228034
2043,20.85,24.956,0.0,547.6,0.0037988957798191
2044,20.89,25.0,0.0,548.666666666667,0.0038150700634007
2045,20.89,25.0,0.0,542.75,0.0038150700634007
2046,20.87,24.978,0.0,537.2,0.0038069761284953
2047,20.8566666666667,24.9266666666667,0.0,541.333333333333,0.0037959697919508
2048,20.865,24.9725,0.0,545.25,0.003804954768362
2049,20.83,24.934,0.0,541.25,0.0037908289983185
2050,20.8233333333333,24.9266666666667,0.0,535.5,0.0037881430827897
2051,20.89,25.0,0.0,536.5,0.0038150700634007
2052,20.87,24.978,0.0,543.8,0.0038069761284953
2053,20.84,24.92,0.0,542.0,0.0037910342862335
2054,20.84,24.945,0.0,537.25,0.0037948606943617
2055,20.8233333333333,24.9266666666667,0.0,538.0,0.0037881430827897
2056,20.8233333333333,24.9266666666667,0.0,542.0,0.0037881430827897
2057,20.81,24.912,0.0,542.0,0.0037827757649632
2058,20.79,24.89,0.0,545.333333333333,0.0037747360607463
2059,20.865,24.9725,0.0,543.25,0.003804954768362
2060,20.8566666666667,24.93,0.0,539.0,0.003796480508603
2061,20.84,24.945,0.0,540.75,0.0037948606943617
2062,20.79,24.9175,0.0,538.0,0.0037789319589211
2063,20.79,24.89,0.0,538.0,0.0037747360607463
2064,20.79,24.9266666666667,0.0,538.666666666667,0.00378033060415
2065,20.81,24.956,0.0,541.6,0.0037894976729742
2066,20.79,24.89,0.0,537.5,0.0037747360607463
2067,20.79,24.978,0.0,537.2,0.003788163132972
2068,20.79,24.9633333333333,0.0,541.0,0.0037859252475872
2069,20.79,25.0,0.0,534.0,0.0037915199910604
2070,20.79,25.0,0.0,532.0,0.0037915199910604
2071,20.84,25.0,0.0,531.75,0.0038032789569584
2072,20.79,25.0,0.0,532.8,0.0037915199910604
